combination;time
combination_4;775
combination_4;534
combination_4;694
combination_4;627
combination_4;1741
combination_4;617
combination_4;690
combination_4;1570
combination_4;1251
combination_4;1986
combination_4;1771
combination_4;1723
combination_4;291
combination_4;204
combination_4;118
combination_4;59
combination_4;272
combination_4;242
combination_4;167
combination_4;373
combination_4;182
combination_4;1011
combination_4;197
combination_4;137
combination_4;55
combination_4;93
combination_4;207
combination_4;578
combination_4;887
combination_4;333
combination_4;380
combination_4;489
combination_4;251
combination_4;174
combination_4;489
combination_4;230
combination_4;1222
combination_4;1309
combination_4;1090
combination_4;1083
combination_4;1188
combination_4;1218
combination_4;399
combination_4;441
combination_4;607
combination_4;1384
combination_4;693
combination_4;704
combination_4;613
combination_4;602
combination_4;519
combination_4;450
combination_4;487
combination_4;410
combination_4;526
combination_4;433
combination_4;511
combination_4;1632
combination_4;536
combination_4;424
combination_4;424
combination_4;469
combination_4;315
combination_4;438
combination_4;449
combination_4;324
combination_4;506
combination_4;407
combination_4;25
combination_4;14
combination_4;12
combination_4;11
combination_5;5865
combination_5;4336
combination_5;5026
combination_5;4148
combination_5;4146
combination_5;27417
combination_5;25924
combination_5;28091
combination_5;27324
combination_5;28958
combination_5;300063
combination_5;300059
combination_5;300046
combination_5;300010
combination_5;300080
combination_5;1633
combination_5;904
combination_5;890
combination_5;964
combination_5;1228
combination_5;353
combination_5;276
combination_5;1175
combination_5;430
combination_5;1499
combination_5;1813
combination_5;1013
combination_5;630
combination_5;536
combination_5;1407
combination_5;1034
combination_5;1109
combination_5;763
combination_5;979
combination_5;943
combination_5;1279
combination_5;1143
combination_5;1716
combination_5;1266
combination_5;1380
combination_5;245
combination_5;663
combination_5;208
combination_5;143
combination_5;122
combination_5;316
combination_5;196
combination_5;629
combination_5;276
combination_5;1579
combination_5;165
combination_5;159
combination_5;79
combination_5;144
combination_5;126
combination_5;648
combination_5;622
combination_5;447
combination_5;422
combination_5;616
combination_5;391
combination_5;257
combination_5;614
combination_5;310
combination_5;1589
combination_5;1017
combination_5;795
combination_5;590
combination_5;686
combination_5;515
combination_5;433
combination_5;343
combination_5;810
combination_5;2244
combination_5;477
combination_5;643
combination_5;705
combination_5;629
combination_5;659
combination_5;428
combination_5;555
combination_5;970
combination_5;770
combination_5;508
combination_5;573
combination_5;676
combination_5;518
combination_5;424
combination_5;457
combination_5;513
combination_5;399
combination_5;787
combination_5;795
combination_5;578
combination_5;566
combination_5;163
combination_5;20
combination_5;17
combination_5;15
combination_5;17
combination_6;6881
combination_6;4976
combination_6;4527
combination_6;5365
combination_6;4724
combination_6;30729
combination_6;29912
combination_6;31533
combination_6;31284
combination_6;31016
combination_6;300024
combination_6;300104
combination_6;300038
combination_6;300041
combination_6;300073
combination_6;1587
combination_6;908
combination_6;1016
combination_6;1345
combination_6;886
combination_6;1074
combination_6;305
combination_6;1671
combination_6;494
combination_6;1205
combination_6;2789
combination_6;1209
combination_6;841
combination_6;656
combination_6;635
combination_6;1216
combination_6;1237
combination_6;1061
combination_6;1175
combination_6;1162
combination_6;1496
combination_6;1001
combination_6;1787
combination_6;1336
combination_6;1282
combination_6;242
combination_6;220
combination_6;173
combination_6;122
combination_6;137
combination_6;465
combination_6;358
combination_6;820
combination_6;463
combination_6;2236
combination_6;97
combination_6;654
combination_6;83
combination_6;152
combination_6;107
combination_6;919
combination_6;781
combination_6;621
combination_6;659
combination_6;802
combination_6;449
combination_6;782
combination_6;842
combination_6;421
combination_6;2206
combination_6;859
combination_6;494
combination_6;520
combination_6;628
combination_6;446
combination_6;504
combination_6;458
combination_6;1943
combination_6;1951
combination_6;581
combination_6;971
combination_6;970
combination_6;1245
combination_6;1162
combination_6;733
combination_6;819
combination_6;683
combination_6;1347
combination_6;576
combination_6;629
combination_6;920
combination_6;700
combination_6;1369
combination_6;745
combination_6;639
combination_6;509
combination_6;975
combination_6;865
combination_6;584
combination_6;684
combination_6;136
combination_6;17
combination_6;18
combination_6;11
combination_6;9
combination_7;7809
combination_7;4918
combination_7;5212
combination_7;4689
combination_7;4995
combination_7;35720
combination_7;34813
combination_7;35854
combination_7;35294
combination_7;37514
combination_7;300075
combination_7;300051
combination_7;300017
combination_7;300081
combination_7;300010
combination_7;1818
combination_7;1064
combination_7;1324
combination_7;981
combination_7;998
combination_7;412
combination_7;241
combination_7;3621
combination_7;499
combination_7;1545
combination_7;2359
combination_7;1364
combination_7;781
combination_7;525
combination_7;772
combination_7;1560
combination_7;1428
combination_7;1362
combination_7;1246
combination_7;1413
combination_7;994
combination_7;773
combination_7;1637
combination_7;1717
combination_7;1574
combination_7;156
combination_7;121
combination_7;83
combination_7;59
combination_7;76
combination_7;503
combination_7;372
combination_7;1019
combination_7;457
combination_7;3652
combination_7;56
combination_7;52
combination_7;46
combination_7;32
combination_7;45
combination_7;1047
combination_7;934
combination_7;645
combination_7;640
combination_7;920
combination_7;578
combination_7;401
combination_7;1426
combination_7;527
combination_7;2631
combination_7;732
combination_7;518
combination_7;272
combination_7;1203
combination_7;410
combination_7;678
combination_7;479
combination_7;1333
combination_7;2277
combination_7;918
combination_7;1621
combination_7;1964
combination_7;1477
combination_7;1510
combination_7;928
combination_7;2071
combination_7;1394
combination_7;1366
combination_7;1086
combination_7;911
combination_7;1576
combination_7;1634
combination_7;1864
combination_7;1538
combination_7;1082
combination_7;422
combination_7;1140
combination_7;1079
combination_7;796
combination_7;840
combination_7;45
combination_7;13
combination_7;10
combination_7;10
combination_7;7
