query;combination_0;combination_1;combination_10;combination_11;combination_2;combination_3;combination_4;combination_5;combination_6;combination_7;combination_8;combination_9
C1;13174.6;10834.8;5862.6;5579;10801.4;10947.4;13783.8;11337;10941.4;11971.4;8485.4;6923.8
C2;40517.8;40195.4;31885;31940;39758.8;40203;43623.4;41637;41453.6;42882.4;35442.6;32792.8
C3;166880;161281;300036;300049;154907;152919;179082;162194;161289;163009;300056;300053
