query;combination_0;combination_1;combination_2;combination_3;combination_4;combination_5;combination_6;combination_7;combination_8;combination_9
C1;19707.8;20667.6;13400.6;13219.6;15951.2;19463.4;21951.4;13602.2;13943;46296.2
C2;41373.8;42373.6;40077.6;40122.6;45156.2;39591.8;42104.4;42165.6;82228.6;129199
C3;277631;291997;286673;152566;120572;269100;299178;297694;159670;135560
