query;combination_0;combination_1;combination_2;combination_3;combination_4
C1;19707.8;20667.6;13400.6;13219.6;15951.2
C2;41373.8;42373.6;40077.6;40122.6;45156.2
C3;277631;291997;286673;152566;120572
