query;combination_0;combination_1;combination_2;combination_3;combination_4;combination_5
C1;9757.4;3066;4100.2;3891;4074.2;3780.6
C2;52020.8;18072.2;34702.4;25154.2;25717.6;26024
C3;159185;300046;300050;300045;300058;300043
